id,booking_time,room_type,price,reservation_type,check_in_time,check_out_time,adults,children,night_stay,name,country_code,identity_number,age,gender,phone,email
77,2021-01-26,Suite,2500000,OTA-Traveloka,2021-01-27 16:00:00,2021-01-29 00:00:00,4,2,1,Guest 5213,PH,46217647,55,Male,+62-2966891,guest9550@example.com
78,2024-02-10,Family,1000000,Walk-in,2024-03-08 16:00:00,2024-03-14 23:00:00,3,0,6,Guest 7936,TH,49331110,60,Male,+62-8948825,guest8901@example.com
79,2021-04-08,Deluxe,1500000,OTA-Traveloka,2021-04-17 14:00:00,2021-04-28 22:00:00,4,2,11,Guest 4083,MY,71458905,61,Male,+62-7579859,guest8975@example.com
80,2021-08-20,Presidential,3000000,OTA-Traveloka,2021-08-22 15:00:00,2021-08-25 22:00:00,1,2,3,Guest 6021,PH,39214097,48,Male,+62-6784031,guest9716@example.com
81,2022-12-23,Regular,1000000,OTA-Traveloka,2023-01-17 15:00:00,2023-01-26 01:00:00,2,1,8,Guest 6476,PH,23857544,56,Male,+62-8002737,guest8568@example.com
82,2021-01-24,Suite,2500000,Group Travel Agent,2021-02-16 14:00:00,2021-02-28 00:00:00,3,0,11,Guest 8907,ID,67016539,62,Female,+62-4159603,guest6023@example.com
83,2022-12-04,Presidential,3000000,OTA-Traveloka,2022-12-31 16:00:00,2023-01-14 00:00:00,3,0,13,Guest 8179,PH,32181880,25,Male,+62-4626087,guest5225@example.com
84,2021-07-19,Regular,1000000,OTA-Traveloka,2021-07-27 16:00:00,2021-08-09 23:00:00,2,1,13,Guest 4731,TH,88009512,29,Female,+62-9253025,guest8956@example.com
85,2024-05-13,Regular,1000000,Walk-in,2024-05-25 14:00:00,2024-06-07 22:00:00,4,2,13,Guest 6023,SG,31557803,35,Female,+62-2191121,guest8781@example.com
86,2024-02-01,Fancy,2000000,OTA-Traveloka,2024-02-28 17:00:00,2024-03-05 01:00:00,2,2,5,Guest 2477,MY,48823723,40,Female,+62-4974954,guest9566@example.com
87,2023-08-30,Presidential,3000000,Group Travel Agent,2023-09-03 17:00:00,2023-09-05 03:00:00,1,0,1,Guest 5942,SG,55914089,61,Male,+62-5982978,guest9069@example.com
88,2022-06-29,Suite,2500000,OTA-Traveloka,2022-07-04 14:00:00,2022-07-13 23:00:00,3,2,9,Guest 7215,ID,32667153,22,Female,+62-3941463,guest5938@example.com
89,2020-09-24,Presidential,3000000,Group Travel Agent,2020-10-16 18:00:00,2020-10-31 05:00:00,1,2,14,Guest 3017,SG,72986007,43,Female,+62-8410957,guest2739@example.com
90,2021-07-19,Fancy,2000000,OTA-Booking.com,2021-07-31 16:00:00,2021-08-05 00:00:00,1,0,4,Guest 7777,TH,69035671,62,Male,+62-7198229,guest7757@example.com
91,2024-06-17,Fancy,2000000,OTA-Traveloka,2024-07-12 15:00:00,2024-07-24 22:00:00,3,1,12,Guest 8937,SG,21290131,27,Male,+62-6001359,guest7288@example.com
92,2022-07-23,Family,1000000,Group Travel Agent,2022-08-01 18:00:00,2022-08-14 05:00:00,4,0,12,Guest 3855,MY,63581862,30,Male,+62-7536043,guest3914@example.com
93,2020-06-21,Suite,2500000,Walk-in,2020-06-27 15:00:00,2020-07-12 00:00:00,1,1,14,Guest 3761,PH,60138928,35,Male,+62-8663590,guest1493@example.com
94,2024-05-18,Standard,500000,OTA-Tiket.com,2024-06-02 16:00:00,2024-06-05 03:00:00,2,1,2,Guest 1207,PH,51324804,33,Female,+62-8390349,guest8302@example.com
95,2023-02-05,Standard,500000,OTA-Booking.com,2023-02-10 18:00:00,2023-02-24 03:00:00,1,0,13,Guest 3967,TH,18479476,58,Female,+62-4684674,guest1021@example.com
96,2020-05-22,Family,1000000,OTA-Traveloka,2020-05-26 17:00:00,2020-05-29 01:00:00,2,2,2,Guest 7283,TH,89774482,39,Female,+62-2300504,guest8075@example.com
97,2022-03-16,Standard,500000,OTA-Booking.com,2022-03-28 15:00:00,2022-04-08 02:00:00,4,1,10,Guest 3977,MY,46203448,53,Male,+62-4588539,guest4103@example.com
98,2023-08-29,Regular,1000000,OTA-Booking.com,2023-09-03 18:00:00,2023-09-09 03:00:00,1,2,5,Guest 8942,TH,84090568,31,Female,+62-5757030,guest6864@example.com
99,2024-04-14,Suite,2500000,Group Travel Agent,2024-05-06 18:00:00,2024-05-17 02:00:00,1,2,10,Guest 3388,SG,23492504,30,Male,+62-4857522,guest1376@example.com
100,2020-11-29,Fancy,2000000,Group Travel Agent,2020-12-21 18:00:00,2020-12-29 05:00:00,2,0,7,Guest 7226,PH,31309407,38,Female,+62-2953673,guest8349@example.com
101,2021-09-30,Regular,1000000,Group Travel Agent,2021-10-02 17:00:00,2021-10-09 04:00:00,1,1,6,Guest 9029,TH,87275207,51,Female,+62-9987625,guest8292@example.com
102,2024-01-08,Deluxe,1500000,OTA-Tiket.com,2024-02-04 17:00:00,2024-02-12 02:00:00,1,2,7,Guest 9186,MY,75348765,42,Female,+62-7209513,guest5851@example.com
103,2021-01-21,Regular,1000000,OTA-Traveloka,2021-01-30 15:00:00,2021-02-12 23:00:00,3,1,13,Guest 6938,PH,43772964,64,Male,+62-3777624,guest7106@example.com
104,2022-02-18,Deluxe,1500000,OTA-Traveloka,2022-03-10 15:00:00,2022-03-16 22:00:00,3,0,6,Guest 2307,TH,89277703,54,Female,+62-5786282,guest6662@example.com
105,2020-06-28,Regular,1000000,OTA-Tiket.com,2020-07-23 15:00:00,2020-07-25 01:00:00,4,2,1,Guest 8193,SG,88700553,28,Male,+62-9674158,guest4879@example.com
106,2020-08-25,Deluxe,1500000,OTA-Booking.com,2020-09-21 17:00:00,2020-09-29 00:00:00,4,1,7,Guest 5356,PH,41931335,44,Female,+62-1785931,guest1693@example.com
107,2022-04-20,Fancy,2000000,Group Travel Agent,2022-05-16 17:00:00,2022-05-31 03:00:00,3,0,14,Guest 6266,SG,26198151,40,Male,+62-8161695,guest1843@example.com
108,2023-07-17,Family,1000000,OTA-Traveloka,2023-08-10 17:00:00,2023-08-25 02:00:00,4,0,14,Guest 7296,PH,58508428,43,Male,+62-1642111,guest2146@example.com
109,2023-10-12,Family,1000000,Group Travel Agent,2023-10-24 15:00:00,2023-11-04 02:00:00,2,2,10,Guest 7408,TH,96536314,42,Male,+62-5878926,guest7418@example.com
110,2023-12-06,Regular,1000000,OTA-Tiket.com,2023-12-08 15:00:00,2023-12-15 00:00:00,4,2,6,Guest 5413,TH,40079677,57,Male,+62-8603540,guest8841@example.com
111,2022-10-04,Fancy,2000000,OTA-Traveloka,2022-10-09 15:00:00,2022-10-11 02:00:00,2,2,1,Guest 1284,ID,38410557,62,Male,+62-8886409,guest9084@example.com
112,2024-08-23,Fancy,2000000,Group Travel Agent,2024-08-24 17:00:00,2024-08-29 01:00:00,1,2,4,Guest 5615,SG,45052955,46,Male,+62-9958722,guest5214@example.com
113,2022-08-19,Fancy,2000000,OTA-Booking.com,2022-09-05 16:00:00,2022-09-11 02:00:00,4,0,5,Guest 6489,ID,82914686,18,Male,+62-8881683,guest5785@example.com
114,2022-11-24,Deluxe,1500000,OTA-Traveloka,2022-12-07 17:00:00,2022-12-21 02:00:00,1,0,13,Guest 6811,PH,69322071,29,Female,+62-7050270,guest9074@example.com
115,2020-08-01,Regular,1000000,Group Travel Agent,2020-08-04 15:00:00,2020-08-18 02:00:00,3,1,13,Guest 2988,PH,10460770,63,Male,+62-6821570,guest4819@example.com
116,2022-09-24,Fancy,2000000,OTA-Traveloka,2022-10-13 15:00:00,2022-10-22 01:00:00,2,0,8,Guest 9976,PH,77162336,62,Female,+62-2949477,guest2751@example.com
117,2020-10-09,Regular,1000000,OTA-Tiket.com,2020-11-07 14:00:00,2020-11-14 01:00:00,4,2,6,Guest 9605,TH,65524370,34,Male,+62-6181635,guest8045@example.com
118,2021-12-16,Fancy,2000000,OTA-Booking.com,2022-01-12 15:00:00,2022-01-24 22:00:00,1,1,12,Guest 1516,ID,65668100,28,Male,+62-4071285,guest7285@example.com
119,2021-09-28,Regular,1000000,OTA-Tiket.com,2021-10-02 16:00:00,2021-10-05 02:00:00,1,1,2,Guest 3646,SG,17027736,20,Male,+62-9667398,guest7042@example.com
120,2021-12-28,Fancy,2000000,Walk-in,2022-01-02 15:00:00,2022-01-12 00:00:00,4,2,9,Guest 4776,ID,26185944,37,Male,+62-2019417,guest9992@example.com
121,2024-06-25,Regular,1000000,OTA-Tiket.com,2024-07-13 15:00:00,2024-07-21 22:00:00,1,0,8,Guest 7746,SG,41056317,48,Male,+62-1299182,guest5794@example.com
122,2020-12-09,Deluxe,1500000,Group Travel Agent,2020-12-15 15:00:00,2020-12-28 01:00:00,2,2,12,Guest 5441,ID,33393559,47,Female,+62-6863256,guest5408@example.com
123,2022-07-12,Family,1000000,Walk-in,2022-07-22 18:00:00,2022-07-28 04:00:00,3,0,5,Guest 3466,ID,78160059,64,Male,+62-9308645,guest2190@example.com
124,2021-10-31,Deluxe,1500000,OTA-Traveloka,2021-11-12 14:00:00,2021-11-15 23:00:00,4,0,3,Guest 6193,ID,46072401,65,Male,+62-9492343,guest8369@example.com
125,2021-04-20,Suite,2500000,OTA-Tiket.com,2021-05-12 14:00:00,2021-05-23 23:00:00,3,2,11,Guest 1488,MY,80044506,41,Male,+62-9238874,guest2043@example.com
126,2021-06-17,Family,1000000,Group Travel Agent,2021-07-05 18:00:00,2021-07-17 01:00:00,4,1,11,Guest 1100,ID,50645701,47,Male,+62-7909655,guest4600@example.com
127,2021-05-29,Suite,2500000,OTA-Booking.com,2021-06-11 15:00:00,2021-06-16 00:00:00,1,2,4,Guest 5457,TH,77837509,41,Female,+62-5972857,guest5809@example.com
128,2023-04-19,Regular,1000000,Walk-in,2023-05-01 18:00:00,2023-05-03 01:00:00,4,1,1,Guest 3058,ID,72754207,23,Male,+62-5744879,guest1940@example.com
129,2024-08-31,Suite,2500000,OTA-Tiket.com,2024-09-21 17:00:00,2024-10-03 04:00:00,4,0,11,Guest 7448,SG,23812859,27,Female,+62-4630508,guest7621@example.com
130,2024-11-26,Deluxe,1500000,OTA-Booking.com,2024-12-20 15:00:00,2024-12-21 22:00:00,3,1,1,Guest 5605,MY,83602051,44,Female,+62-4463886,guest4708@example.com
131,2020-06-23,Suite,2500000,Group Travel Agent,2020-07-20 14:00:00,2020-08-03 22:00:00,4,0,14,Guest 3488,ID,23094193,31,Female,+62-6954563,guest4537@example.com
132,2022-07-29,Presidential,3000000,Walk-in,2022-08-18 17:00:00,2022-08-31 00:00:00,3,0,12,Guest 5873,PH,12234102,58,Male,+62-2873929,guest3569@example.com
133,2020-02-06,Presidential,3000000,OTA-Booking.com,2020-03-05 14:00:00,2020-03-06 22:00:00,2,1,1,Guest 2557,MY,13821789,45,Female,+62-4504177,guest1679@example.com
134,2021-01-03,Fancy,2000000,Group Travel Agent,2021-01-28 15:00:00,2021-02-08 23:00:00,3,0,11,Guest 2564,SG,14984898,51,Female,+62-8271016,guest2790@example.com
135,2020-04-17,Family,1000000,Walk-in,2020-04-23 15:00:00,2020-04-27 01:00:00,1,0,3,Guest 7365,PH,96385534,38,Male,+62-6507355,guest9529@example.com
136,2021-08-30,Suite,2500000,OTA-Tiket.com,2021-09-04 15:00:00,2021-09-17 00:00:00,1,2,12,Guest 9108,ID,75100514,62,Male,+62-5864006,guest8409@example.com
137,2024-04-20,Fancy,2000000,OTA-Tiket.com,2024-05-14 16:00:00,2024-05-20 00:00:00,1,1,5,Guest 5640,PH,90605659,19,Female,+62-4941551,guest7765@example.com
138,2022-09-22,Standard,500000,Walk-in,2022-09-29 15:00:00,2022-10-07 23:00:00,4,0,8,Guest 4493,MY,52459157,30,Male,+62-5113024,guest5665@example.com
139,2023-10-04,Presidential,3000000,OTA-Booking.com,2023-10-19 15:00:00,2023-10-28 02:00:00,3,1,8,Guest 5906,MY,64723883,55,Male,+62-3623872,guest5576@example.com
140,2020-07-03,Fancy,2000000,Walk-in,2020-07-27 15:00:00,2020-08-03 00:00:00,2,1,6,Guest 8809,PH,65561199,58,Male,+62-5961833,guest7752@example.com
141,2023-08-03,Suite,2500000,OTA-Traveloka,2023-08-14 14:00:00,2023-08-20 21:00:00,4,0,6,Guest 5105,TH,24761976,35,Female,+62-3515376,guest2758@example.com
142,2022-10-07,Regular,1000000,OTA-Booking.com,2022-10-15 17:00:00,2022-10-25 02:00:00,4,2,9,Guest 6400,ID,88017867,43,Male,+62-3763615,guest9013@example.com
143,2022-08-27,Family,1000000,Group Travel Agent,2022-09-20 17:00:00,2022-09-23 04:00:00,2,2,2,Guest 6806,PH,55078167,33,Male,+62-5914065,guest7667@example.com
144,2024-12-08,Deluxe,1500000,OTA-Booking.com,2024-12-26 14:00:00,2025-01-05 22:00:00,1,0,10,Guest 2108,MY,93356946,65,Male,+62-4779401,guest9484@example.com
145,2021-12-06,Regular,1000000,OTA-Traveloka,2022-01-03 14:00:00,2022-01-08 01:00:00,4,0,4,Guest 6691,ID,12996615,22,Female,+62-4585011,guest4353@example.com
146,2023-03-31,Suite,2500000,OTA-Booking.com,2023-04-18 14:00:00,2023-04-26 01:00:00,3,1,7,Guest 8539,MY,42686017,57,Female,+62-8885982,guest2166@example.com
147,2022-01-11,Standard,500000,OTA-Tiket.com,2022-01-27 14:00:00,2022-02-04 21:00:00,1,0,8,Guest 2384,MY,94667407,35,Male,+62-6478394,guest1669@example.com
148,2024-07-15,Presidential,3000000,OTA-Tiket.com,2024-07-19 15:00:00,2024-07-29 01:00:00,4,0,9,Guest 2607,ID,45999788,58,Male,+62-1439624,guest9777@example.com
